"REGIONE";"PROVINCIA";"COMUNE";"SPECIE";"DATA_SOSPETTO";"DATA_CONFERMA";"LONGITUDINE";"LATITUDINE";"ESITO";"DATA_PRELIEVO";"DATA"
"PIEMONTE";"AL";"VOLTAGGIO";"CINGHIALE(SELVATICI)";2022-01-09;2022-01-11;8.842666;44.62238;"P";NA;2022-01-09 00:00:00
"PIEMONTE";"AL";"ROCCA GRIMALDA";"CINGHIALE(SELVATICI)";2022-02-07;2022-02-08;8.634552;44.669397;"P";NA;2022-02-07 00:00:00
"LIGURIA";"GE";"MIGNANEGO";"CINGHIALE(SELVATICI)";2022-02-26;2022-03-02;8.90817;44.53559;"P";NA;2022-02-26 00:00:00
"PIEMONTE";"AL";"ARQUATA SCRIVIA";"CINGHIALE(SELVATICI)";2022-01-23;2022-01-24;8.906972;44.661321;"P";NA;2022-01-23 00:00:00
"PIEMONTE";"AL";"OVADA";"CINGHIALE(SELVATICI)";2022-03-31;2022-04-01;8.647229;44.613188;"P";NA;2022-03-31 00:00:00
"LIGURIA";"GE";"CAMPO LIGURE";"CINGHIALE(SELVATICI)";2022-04-21;2022-04-22;8.697453;44.54072;"P";NA;2022-04-21 00:00:00
"LIGURIA";"GE";"ROSSIGLIONE";"CINGHIALE(SELVATICI)";2022-04-28;2022-04-29;8.648246;44.569753;"P";NA;2022-04-28 00:00:00
"LIGURIA";"GE";"CAMPO LIGURE";"CINGHIALE(SELVATICI)";2022-05-04;2022-05-05;8.700569;44.537756;"P";NA;2022-05-04 00:00:00
"PIEMONTE";"AL";"BOSIO";"CINGHIALE(SELVATICI)";2022-03-21;2022-03-22;8.778724;44.569035;"P";NA;2022-03-21 00:00:00
"PIEMONTE";"AL";"LERMA";"CINGHIALE(SELVATICI)";2022-03-23;2022-03-25;8.727802;44.651758;"P";NA;2022-03-23 00:00:00
"LIGURIA";"GE";"MIGNANEGO";"CINGHIALE(SELVATICI)";2022-02-02;2022-02-04;8.913969;44.540151;"P";NA;2022-02-02 00:00:00
"PIEMONTE";"AL";"SILVANO D\'ORBA";"CINGHIALE(SELVATICI)";2022-04-02;2022-04-05;8.696067;44.667365;"P";NA;2022-04-02 00:00:00
"PIEMONTE";"AL";"LERMA";"CINGHIALE(SELVATICI)";2022-04-20;2022-04-21;8.721435;44.604188;"P";NA;2022-04-20 00:00:00
"PIEMONTE";"AL";"LERMA";"CINGHIALE(SELVATICI)";2022-04-28;2022-05-02;8.716542;44.611941;"P";NA;2022-04-28 00:00:00
